Tab;Ερώτηση;Επιλογή 1;Επιλογή 2;Επιλογή 3;Επιλογή 4;Σωστή Απάντηση;Fact
Γονείς Νηπίων;Το παιδί σας αρνείται να φάει το φαγητό του. Τι κάνετε;Επιμένετε να φάει τουλάχιστον μερικές μπουκιές;Του λέτε ότι δεν θα πάρει επιδόρπιο;Σεβαστείτε την επιλογή του και προσφέρετε υγιεινά snacks αργότερα;Περιμένετε μέχρι να πεινάσει και του σερβίρετε το ίδιο πιάτο;2;Τα παιδιά έχουν φυσικούς μηχανισμούς ρύθμισης της πείνας τους. Ο εξαναγκασμός ή η πίεση μπορεί να δημιουργήσει αρνητική σχέση με το φαγητό.
Γονείς Νηπίων;Το νήπιό σας χτυπά άλλα παιδιά στην παιδική χαρά. Ποια είναι η σωστή αντίδραση;Το απομακρύνετε ήρεμα και του εξηγείτε γιατί δεν χτυπάμε;Του ζητάτε να ζητήσει συγγνώμη αμέσως;Το απομακρύνετε αμέσως από την παιδική χαρά;Του εξηγείτε ότι το άλλο παιδί θα στεναχωρηθεί;0;Η άμεση απομάκρυνση με ήρεμη εξήγηση είναι πιο αποτελεσματική. Το παιδί χρειάζεται να καταλάβει τη συνέπεια πριν μπορέσει να συναισθανθεί.
Γονείς Νηπίων;Πόσες ώρες ύπνου χρειάζεται ένα νήπιο 4-6 ετών;9-10 ώρες;11-14 ώρες;8-11 ώρες;10-13 ώρες;3;Ο επαρκής ύπνος είναι κρίσιμος για την ανάπτυξη του εγκεφάλου, τη μνήμη, τη μάθηση και τη συναισθηματική ρύθμιση των νηπίων.
Γονείς Νηπίων;Το παιδί σας κάνει εφιάλτες συχνά. Τι πρέπει να κάνετε;Το αφήνετε να έρθει στο κρεβάτι σας;Ανάβετε όλα τα φώτα στο σπίτι;Το καθησυχάζετε στο δωμάτιό του και μένετε μαζί του;Του δίνετε ένα αντικείμενο ασφαλείας;2;Η παρηγοριά στο χώρο του παιδιού ενισχύει την αίσθηση ασφάλειας χωρίς να δημιουργεί εξάρτηση. Μένοντας μαζί του μέχρι να ηρεμήσει το βοηθάτε να νιώσει προστατευμένο.
Γονείς Νηπίων;Πόσος χρόνος με οθόνες συνιστάται για νήπια;30 λεπτά την ημέρα;Έως 2 ώρες με εκπαιδευτικό περιεχόμενο;1 ώρα μόνο τα Σαββατοκύριακα;Έως 1 ώρα την ημέρα με ποιοτικό περιεχόμενο;3;Ο περιορισμένος χρόνος οθόνης προάγει την κοινωνική αλληλεπίδραση, τη δημιουργικότητα και τη σωματική δραστηριότητα.
Γονείς Νηπίων;Το νήπιό σας λέει ψέματα για κάτι που έκανε. Τι κάνετε;Του δίνετε την ευκαιρία να πει την αλήθεια αργότερα;Του εξηγείτε ότι η αλήθεια είναι σημαντική και συζητάτε τι έγινε;Του λέτε ότι ξέρετε την αλήθεια και το τιμωρείτε;Του λέτε μια ιστορία για τις συνέπειες του ψέματος;1;Η κατανόηση του γιατί η αλήθεια είναι σημαντική και ο διάλογος είναι πιο αποτελεσματικά από την τιμωρία. Τα νήπια μόλις μαθαίνουν ηθική.
Γονείς Νηπίων;Το παιδί σας ρωτά από πού γεννιούνται τα μωρά. Πώς αντιδράτε;Του λέτε μια ιστορία με τον πελαργό;Του λέτε ότι θα το μάθει όταν μεγαλώσει;Του δείχνετε εικόνες από βιβλίο;Απαντάτε με απλά και ειλικρινή λόγια κατάλληλα για την ηλικία;3;Η ειλικρίνεια με απλά λόγια χτίζει εμπιστοσύνη. Οι γονείς που αποφεύγουν τις ερωτήσεις ενθαρρύνουν τα παιδιά να ψάχνουν αλλού για απαντήσεις.
Γονείς Νηπίων;Πόσο σημαντικό είναι το ελεύθερο παιχνίδι για τα νήπια;Πολύ σημαντικό πρέπει να έχουν καθημερινά;Σημαντικό αλλά όχι όσο τα οργανωμένα μαθήματα;Εξίσου σημαντικό με τις εκπαιδευτικές δραστηριότητες;Σημαντικό μόνο για την κοινωνικοποίηση;0;Το ελεύθερο παιχνίδι είναι ο κύριος τρόπος μάθησης για τα νήπια. Αναπτύσσει όλες τις βασικές δεξιότητες καλύτερα από δομημένες δραστηριότητες.
Γονείς Νηπίων;Το παιδί σας είναι πολύ ντροπαλό σε νέες καταστάσεις. Τι κάνετε;Περιμένετε να πάρει το πρώτο βήμα μόνο του;Το προετοιμάζετε για το τι θα συμβεί και του δίνετε χρόνο;Το ενθαρρύνετε να πλησιάσει άλλα παιδιά;Το παίρνετε από το χέρι και το συστήνετε στα άλλα παιδιά;1;Η προετοιμασία μειώνει το άγχος. Τα ντροπαλά παιδιά χρειάζονται χρόνο να παρατηρήσουν πριν συμμετάσχουν και αυτό πρέπει να γίνεται σεβαστό.
Γονείς Νηπίων;Πώς βοηθάτε το νήπιο να αναπτύξει αυτοπεποίθηση;Του λέτε πόσο περήφανοι είστε γι αυτό;Το επαινείτε όταν πετυχαίνει κάτι;Του δίνετε προκλήσεις που μπορεί να αντιμετωπίσει;Αναγνωρίζετε την προσπάθειά του όχι μόνο το αποτέλεσμα;3;Όταν επαινούμε την προσπάθεια αντί του ταλέντου τα παιδιά μαθαίνουν ότι η επιμονή έχει αξία και δεν φοβούνται να αποτύχουν.
